Ноутбук 15.6" Huawei MateBook B3-520 BDZ-WFH9A, серый (53012AGX)|Ноутбук Huawei MateBook B3-520 BDZ-WFH9A 15.6" IPS 1920x1080, Intel Core i5 1135G7 2.4 ГГц, 16Gb RAM, 512Gb SSD, W10Pro, серый (53012AGX)|62 200 ₽
Ноутбук 15.6" Lenovo IdeaPad 3 15IGL05, серый (81WQ0082RK)|Ноутбук Lenovo IdeaPad 3 15IGL05 15.6" IPS 1920x1080, Intel Pentium Silver N5030 1.1 ГГц, 8Gb RAM, 256Gb SSD, без OC, серый (81WQ0082RK)|33 000 ₽
Ноутбук 15.6" Huawei MateBook B3-520 BDZ-WFH9A, серый (53013FCH)|Ноутбук Huawei MateBook B3-520 BDZ-WFH9A 15.6" IPS 1920x1080, Intel Core i5 1135G7 2.4 ГГц, 16Gb RAM, 512Gb SSD, W10Pro, серый (53013FCH)|89 900 ₽
Ноутбук 15.6" Machenike Machcreator A, серебристый (MC-Y15i51135G7F60LSM00BLRU)|Ноутбук Machenike Machcreator A 15.6" IPS 1920x1080, Intel Core i5 1135G7 2.4 ГГц, 16Gb RAM, 512Gb SSD, без OC, серебристый (MC-Y15i51135G7F60LSM00BLRU)|60 100 ₽
Ноутбук 15.6" Lenovo IdeaPad 3 15IAU7, темно-синий (82RK0044RK)|Ноутбук Lenovo IdeaPad 3 15IAU7 15.6" IPS 1920x1080, Intel Core i7 1255U 1.7 ГГц, 8Gb RAM, 512Gb SSD, без OC, темно-синий (82RK0044RK)|76 900 ₽
Ноутбук 15.6" CHUWI CoreBook XPro CWI530-50885E1PDMXX, серый (CWI530-50885E1PDMXX)|Ноутбук CHUWI CoreBook XPro CWI530-50885E1PDMXX 15.6" IPS 1920x1080, Intel Core i5 10210U 1.6 ГГц, 16Gb RAM, 512Gb SSD, W11Pro, серый (CWI530-50885E1PDMXX)|66 900 ₽
Ноутбук 14" Acer TravelMate P2 TMP214-53-384Y, черный (NX.VPNEK.00A)|Ноутбук Acer TravelMate P2 TMP214-53-384Y 14" 1366x768, Intel Core i3 1115G4 1.7 ГГц, 8Gb RAM, 256Gb SSD, W10Pro, черный (NX.VPNEK.00A)|34 000 ₽
Ноутбук 14" MSI Modern 14 C12M-238RU, серебристый (9S7-14J111-238)|Ноутбук MSI Modern 14 C12M-238RU 14" IPS 1920x1080, Intel Core i7 1255U 1.7 ГГц, 8Gb RAM, 512Gb SSD, W11, серебристый (9S7-14J111-238)|64 000 ₽
Ноутбук 15.6" ASUS VivoBook 15 X515EA-EJ1413, серый (90NB0TY1-M00KU0)|Ноутбук ASUS VivoBook 15 X515EA-EJ1413 15.6" 1920x1080, Intel Pentium Gold 7505 2 ГГц, 8Gb RAM, 256Gb SSD, без OC, серый (90NB0TY1-M00KU0)|33 200 ₽
Ноутбук 14" ASUS VivoBook Pro 14X N7400PC-KM225, серый (90NB0U43-M008Z0)|Ноутбук ASUS VivoBook Pro 14X N7400PC-KM225 14" OLED 2880x1800, Intel Core i7 11370H 3.3 ГГц, 16Gb RAM, 512Gb SSD, NVIDIA GeForce RTX 3050-4Gb, без OC, серый (90NB0U43-M008Z0)|160 900 ₽
Ноутбук 15.6" HP 15-dw1495nia, черный (6J5C0EA_RU)|Ноутбук HP 15-dw1495nia 15.6" 1366x768, Intel Celeron N4120 1.1 ГГц, 4Gb RAM, 1Tb HDD, без OC, черный (6J5C0EA_RU)|23 400 ₽
Ноутбук 15.6" Acer Extensa 15 EX215-54, черный (NX.EGJER.01F)|Ноутбук Acer Extensa 15 EX215-54 15.6" IPS 1920x1080, Intel Core i3 1115G4 3 ГГц, 4Gb RAM, 256Gb SSD, без OC, черный (NX.EGJER.01F)|39 900 ₽
Ноутбук 15.6" ASUS VivoBook 15 M513UA-L1427W, серебристый (90NB0TP2-M002Y0)|Ноутбук ASUS VivoBook 15 M513UA-L1427W 15.6" OLED 1920x1080, AMD Ryzen 7 5700U 1.8 ГГц, 16Gb RAM, 512Gb SSD, W11, серебристый (90NB0TP2-M002Y0)|74 900 ₽
Ноутбук 16" ASUS VivoBook 16X M1603QA-MB224, синий (90NB0Y81-M00DD0)|Ноутбук ASUS VivoBook 16X M1603QA-MB224 16" IPS 1920x1200, AMD Ryzen 5 5600H 3.3 ГГц, 16Gb RAM, 512Gb SSD, без OC, синий (90NB0Y81-M00DD0)|57 800 ₽
Ноутбук 15.6" ASUS VivoBook A571GT-BQ938, черный (90NB0NL1-M15220)|Ноутбук ASUS VivoBook A571GT-BQ938 15.6" IPS 1920x1080, Intel Core i5 9300H 2.4 ГГц, 16Gb RAM, 512Gb SSD, NVIDIA GeForce GTX 1650-4Gb, без OC, черный (90NB0NL1-M15220)|73 000 ₽
Ноутбук 15.6" Rombica myBook Eclipse PCLT-0035, серый (PCLT-0035)|Ноутбук Rombica myBook Eclipse PCLT-0035 15.6" IPS 1920x1080, AMD Ryzen 5 5600U 2.1 ГГц, 16Gb RAM, 512Gb SSD, без OC, серый (PCLT-0035)|40 100 ₽
Ноутбук 15.6" Lenovo IdeaPad 3 15ITL05, синий (81X800J4RU)|Ноутбук Lenovo IdeaPad 3 15ITL05 15.6" IPS 1920x1080, Intel Core i5 1135G7 2.4 ГГц, 8Gb RAM, 256Gb SSD, W11, синий (81X800J4RU)|47 800 ₽
Ноутбук 15.6" ASUS VivoBook 15 X1502ZA-BQ1274, синий (90NB0VX1-M01X50)|Ноутбук ASUS VivoBook 15 X1502ZA-BQ1274 15.6" IPS 1920x1080, Intel Core i5 12500H 2.5 ГГц, 16Gb RAM, 512Gb SSD, без OC, синий (90NB0VX1-M01X50)|63 300 ₽
Ноутбук 15.6" Acer Aspire 3 A315-58, синий (UN.ADGSI.005_RU)|Ноутбук Acer Aspire 3 A315-58 15.6" IPS 1920x1080, Intel Core i5 1135G7 2.4 ГГц, 8Gb RAM, 256Gb SSD, без OC, синий (UN.ADGSI.005_RU)|42 700 ₽
Ноутбук 15.6" Huawei MateBook D 15 BoDE-WFH9, серый (53013PEW)|Ноутбук Huawei MateBook D 15 BoDE-WFH9 15.6" IPS 1920x1080, Intel Core i5 1155G7 2.5 ГГц, 16Gb RAM, 512Gb SSD, W11, серый (53013PEW)|61 100 ₽
Ноутбук 15.6" ASUS TUF Gaming F15 FX506LHB-HN323, черный (90NR03U2-M00JN0)|Ноутбук ASUS TUF Gaming F15 FX506LHB-HN323 15.6" IPS 1920x1080, Intel Core i5 10300H 2.5 ГГц, 8Gb RAM, 512Gb SSD, NVIDIA GeForce GTX 1650-4Gb, без OC, черный (90NR03U2-M00JN0)|72 700 ₽
Ноутбук 15.6" F+ Flaptop i, черный (FLTP-5i5-16512-w)|Ноутбук F+ Flaptop i 15.6" IPS 1920x1080, Intel Core i5 1235U 3.3 ГГц, 16Gb RAM, 512Gb SSD, W11, черный (FLTP-5i5-16512-w)|47 990 ₽
Ноутбук 15.6" Huawei MateBook B3-510 BBZ-WBI9, серый космос (53012JEG)|Ноутбук Huawei MateBook B3-510 BBZ-WBI9 15.6" IPS 1920x1080, Intel Core i3 10110U 2.1 ГГц, 8Gb RAM, 256Gb SSD, W10Pro, серый космос (53012JEG)|45 700 ₽
Ноутбук 15.6" Lenovo V15 G2-ALC, черный (82KD00DDCD)|Ноутбук Lenovo V15 G2-ALC 15.6" IPS 1920x1080, AMD Ryzen 3 5300U 2.6 ГГц, 8Gb RAM, 256Gb SSD, без OC, черный (82KD00DDCD)|43 600 ₽
