Модель;Описание;Цена
Ноутбук 15.6" Kraftway Аккорд KNA, черный (466229.007.16.512);Ноутбук Kraftway Аккорд KNA 15.6" IPS 1920x1080, Intel Core i5 8259U 2.3 ГГц, 16Gb RAM, 512Gb SSD, без OC, черный (466229.007.16.512);5 474 600 ₽
Ноутбук 15.6" Kraftway Аккорд KNA, черный (466229.007.08.256);Ноутбук Kraftway Аккорд KNA 15.6" IPS 1920x1080, Intel Core i5 8259U 2.3 ГГц, 8Gb RAM, 256Gb SSD, без OC, черный (466229.007.08.256);4 948 200 ₽
Ноутбук 17.3" HP, серый (4A6B4EA);Ноутбук HP 17.3" IPS 3840x2160 Intel Xeon 2.6 ГГц, 64Gb RAM, 2Tb SSD+512Gb SSD, NVIDIA GeForce RTX A5000-16Gb, W10Pro, серый (4A6B4EA);930 700 ₽
Ноутбук 15.6" Getac X500 G3, черный (XQ2SZFCHTDXX);Ноутбук Getac X500 G3 15.6" 1920x1080, Intel Core i7 7820EQ 3 ГГц, 8Gb RAM, 512Gb SSD, DVD-RW, съёмный, W10Pro, черный (XQ2SZFCHTDXX);706 500 ₽
Ноутбук 15.6" Getac X600 G3, черный (XR2166CHBDCA);Ноутбук Getac X600 G3 15.6" 1920x1080, Intel Core i7 11850H 2.5 ГГц, 16Gb RAM, 512Gb SSD, W11Pro, черный (XR2166CHBDCA);655 700 ₽
Ноутбук 15.6" Getac X500G3, серебристый (XQ1SZ5CHTD8Y);Ноутбук Getac X500G3 15.6" 1920x1080, Intel Core i5 7440EQ 2.9 ГГц, 8Gb RAM, 500Gb HDD, DVD-RW, W10Pro, серебристый (XQ1SZ5CHTD8Y);645 500 ₽
Ноутбук 15.6" Getac X600 G3, черный (XR1166CHBDCA);Ноутбук Getac X600 G3 15.6" 1920x1080, Intel Core i5 11500H 2.9 ГГц, 16Gb RAM, 512Gb SSD, W11Pro, черный (XR1166CHBDCA);635 400 ₽
Ноутбук 15.6" Getac X500G3, серебристый (XQ1SZFCHTDXX);Ноутбук Getac X500G3 15.6" 1920x1080, Intel Core i5 7440EQ 2.9 ГГц, 8Gb RAM, 512Gb SSD, DVD-RW, W10Pro, серебристый (XQ1SZFCHTDXX);620 100 ₽
Ноутбук 16" ASUS ProArt StudioBook 16 W7600H5A-L2031X, черный (90NB0UP1-M01370);Ноутбук ASUS ProArt StudioBook 16 W7600H5A-L2031X 16" OLED 3840x2400, Intel Core i7 11800H 2.3 ГГц, 64Gb RAM, 2Tb SSD, NVIDIA GeForce RTX A5000-16Gb, W11Pro, черный (90NB0UP1-M01370);602 100 ₽
Ноутбук 15.6" HP ZBook Studio G8, серебристый (4F8L5EA) Английская клавиатура!;Ноутбук HP ZBook Studio G8 15.6" IPS 3840x2160, Intel Core i9 11900H 2.5 ГГц, 32Gb RAM, 1Tb SSD, NVIDIA RTX A4000-8Gb, W10Pro, серебристый (4F8L5EA) Английская клавиатура!;596 100 ₽
Ноутбук 15.6" Getac, серый (XQ1SZ5CHTDXX);Ноутбук Getac 15.6" IPS 1920x1080 i5 2.9 ГГц, 8Gb RAM, 500Gb SSD, W10Pro, серый (XQ1SZ5CHTDXX);574 400 ₽
Ноутбук 15.6" HP ZBook Studio G8, серый (4F8L6EA) Английская клавиатура!;Ноутбук HP ZBook Studio G8 15.6" 3840x2160, Intel Core i9 11900H 2.5 ГГц, 32Gb RAM, 1Tb SSD, NVIDIA RTX A3000-6Gb, W10Pro, серый (4F8L6EA) Английская клавиатура!;568 000 ₽
Ноутбук 15.6" HP ZBook Fury G8, серый (4F8L3EA) Английская клавиатура!;Ноутбук HP ZBook Fury G8 15.6" IPS 3840x2160, Intel Core i9 11950H 2.6 ГГц, 32Gb RAM, 1Tb SSD, NVIDIA RTX A3000-6Gb, W10Pro, серый (4F8L3EA) Английская клавиатура!;563 600 ₽
Ноутбук 15.6" HP ZBook Studio, серебристый (314G2EA);Ноутбук HP ZBook Studio 15.6" IPS 3840x2160 i9 2.6 ГГц, 32Gb RAM, 1Tb SSD, NVIDIA RTX A3000-6Gb, W10Pro, серебристый (314G2EA);557 400 ₽
Ноутбук 16" ASUS ROG Zephyrus M16 GU603ZX-K8053X, черный (90NR08R1-M003Y0);Ноутбук ASUS ROG Zephyrus M16 GU603ZX-K8053X 16" IPS 2560x1600, Intel Core i9 12900H 2.5 ГГц, 32Gb RAM, 2Tb SSD, NVIDIA GeForce RTX 3080 Ti-16Gb, W11Pro, черный (90NR08R1-M003Y0);502 600 ₽
Ноутбук 15.6" ASUS ROG Strix Scar G533ZX-HF042, черный (90NR08E2-M002H0);Ноутбук ASUS ROG Strix Scar G533ZX-HF042 15.6" IPS 1920x1080, Intel Core i9 12900H 2.5 ГГц, 32Gb RAM, 1Tb SSD, NVIDIA GeForce RTX 3080 Ti-16Gb, без OC, черный (90NR08E2-M002H0);497 300 ₽
Ноутбук 16.2" Apple MacBook Pro, серебристый (MK1H3LL/A) Английская клавиатура!;Ноутбук Apple MacBook Pro 16.2" 3456x2234, Apple M1 Max, 32Gb RAM, 1Tb SSD, MacOS, серебристый (MK1H3LL/A) Английская клавиатура!;492 700 ₽
Ноутбук Apple MacBook Pro (MK1A3LL/A) Английская клавиатура!;Ноутбук Apple MacBook Pro 16.2" IPS 3456x2234, Apple M1 Max, 32Gb RAM, 1Tb SSD, MacOS, серый космос (MK1A3LL/A) Английская клавиатура!;482 900 ₽
Ноутбук 17.3" MSI Titan GT77 12UHS, черный (9S7-17Q111-211);Ноутбук MSI Titan GT77 12UHS 17.3" IPS 3840x2160, Intel Core i9 12900HX 2.3 ГГц, 64Gb RAM, 2Tb SSD, NVIDIA GeForce RTX 3080 Ti-16Gb, W11, черный (9S7-17Q111-211);479 700 ₽
Ноутбук 16" Lenovo Legion 7 16IAX7, темно-серый (82TD000ERK);Ноутбук Lenovo Legion 7 16IAX7 16" IPS 2560x1600, Intel Core i9 12900HX 2.3 ГГц, 32Gb RAM, 1Tb SSD, NVIDIA GeForce RTX 3080 Ti-16Gb, W11, темно-серый (82TD000ERK);471 700 ₽
Ноутбук 16" Lenovo Legion 7 16IAX7, темно-серый (82TD009URK);Ноутбук Lenovo Legion 7 16IAX7 16" IPS 2560x1600, Intel Core i9 12900HX 2.3 ГГц, 32Gb RAM, 2Tb SSD, NVIDIA GeForce RTX 3080 Ti-16Gb, W11, темно-серый (82TD009URK);470 100 ₽
Ноутбук 16" ASUS ROG Zephyrus Duo 16 GX650RW-LO108X, черный (90NR0931-M007S0);Ноутбук ASUS ROG Zephyrus Duo 16 GX650RW-LO108X 16" 2560x1600, AMD Ryzen 9 6900HX 3.3 ГГц, 32Gb RAM, 2Tb SSD, NVIDIA GeForce RTX 3070 Ti-8Gb, W11Pro, черный (90NR0931-M007S0);460 300 ₽
